sentence_1,sentence_2,label,type,base_similarity,fine_tuned_similarity
අමුත්තන් හෙට උදේ පැමිණීමට නියමිතය,අමුත්තන් හෙට උදෑසන එන්නට නියමිතයි,0.8,light_paraphrase,0.9918993,0.9790742
විශාල ගින්නක් වනාන්තරය පුරා පැතිර ගියේය,දැවැන්ත ගින්නක් වනය පුරා විහිදී ගියා,0.8,light_paraphrase,0.9732527,0.9256619
පුස්තකාලයාධිපතිතුමිය පොත් පිළිවෙලට තැබුවාය,පුස්තකාලයේ ප්‍රධානියා පොත් පිළිවෙළකට තැබුවා,0.8,light_paraphrase,0.969405,0.8970342
ක්‍රීඩකයෝ සියලු දෙනාම ජයග්‍රහණයෙන් සතුටට පත් වූහ,ක්‍රීඩකයන් සියලු දෙනාම දිනීම ගැන සතුටු වුණා,0.8,light_paraphrase,0.9620136,0.9529133
ගුවන් යානය පැමිණීමට ප්‍රමාද විය,ගුවන් යානය පැමිණීමට පරක්කු වුණා,0.8,light_paraphrase,0.7781432,0.9140342
අපට නව නිවාසයක් මිලදී ගැනීමට සිදුවනු ඇත,අපට අලුත් නිවසක් මිළදී ගන්නට සිදුවේ,0.8,light_paraphrase,0.9505699,0.90535843
කඳුකර ප්‍රදේශයට දැඩි ලෙස හිම වැටුණා,කඳු ආශ්‍රිත පෙදෙසට අධික ලෙස හිම පතිත විය,0.8,light_paraphrase,0.97103095,0.88627696
පෞරාණික රජ මාලිගය කෞතුකාගාරයක් ලෙස විවෘත කරන ලදී,පැරණි රජවාසල දැන් කෞතුකාගාරයක් විදියට විවෘත කර තිබෙනවා,0.8,light_paraphrase,0.6855575,0.86324143
දරුවා සතුටින් සිනාසෙමින් සිටියේය,ළමයා ප්‍රීතියෙන් හිනා වෙමින් සිටියා,0.8,light_paraphrase,0.8497628,0.7304803
රෝගියාට හදිසි ශල්‍යකර්මයක් අවශ්‍ය විය,ලෙඩාට ක්ෂණික සැත්කමක් අවශ්‍ය වුණා,0.8,light_paraphrase,0.6221754,0.70046055
මම අලුත් ඇඳුම් කිහිපයක් මිලදී ගැනීමට වෙළඳසැලට ගියෙමි,මම අලුත් ඇඳුම් කීපයක් ගන්න සාප්පුවට ගියා,0.8,light_paraphrase,0.95410156,0.9175583
සමාජයේ සාමය පවත්වා ගැනීම ඉතා වැදගත් වේ,සමිතියේ සාමය තබා ගැනීම ඉතා වැදගත් දෙයකි,0.8,light_paraphrase,0.97226715,0.91633815
විශාල නගරවල වායු දූෂණය ඉහළ ගොස් ඇත,නගරවල පවතින අධික වායු දූෂණය වැඩි වී තිබේ,0.5,heavy_paraphrase,0.9550207,0.9543158
මන්ත්‍රීවරයාගේ කතාව ශ්‍රාවකයන්ගේ සිත් ගත්තේය,ශ්‍රාවකයින් මන්ත්‍රීවරයාගේ දෙසුම කෙරෙහි ආකර්ෂණය විය,0.5,heavy_paraphrase,0.9779431,0.7119067
රජය විසින් අධ්‍යාපන ප්‍රතිසංස්කරණ කිහිපයක් හඳුන්වා දෙන ලදී,අධ්‍යාපනයේ වෙනස්කම් ගණනාවක් ආණ්ඩුව විසින් ගෙන එන ලදී,0.5,heavy_paraphrase,0.9448959,0.6773306
ඔහු බස රථයකට නැගීය,බස මගින් ඔහු ගමන් ආරම්භ කළා,0.5,heavy_paraphrase,0.92868215,0.45383593
සෑම රටකම ආර්ථික ස්ථාවරත්වය වැදගත් වේ,ආර්ථිකය ස්ථාවරව තිබීම සියලු රටවලට ප්‍රයෝජනවත් ය,0.5,heavy_paraphrase,0.8158737,0.82574034
ගුරුවරිය පාඩම පැහැදිලි කළා,පාඩමේ අර්ථය සිසුන්ට තේරුම් කර දුන්නා,0.5,heavy_paraphrase,0.76463974,0.6460045
සමාගමේ වාර්ෂික ලාභය කැපී පෙනෙන ලෙස වැඩි විය,සැලකිය යුතු ලෙස වැඩි වූයේ සමාගමේ අවුරුදුපතා ලැබූ ලාභයයි,0.5,heavy_paraphrase,0.95923924,0.5598005
අපි කඳු තරණය කිරීමට පසුගිය සතියේ ගියෙමු,පසුගිය සතියේ කඳු නැගීම සඳහා අපි ගමන් කළා,0.5,heavy_paraphrase,0.9760771,0.85504436
ක්‍රීඩාංගණය රසිකයින්ගෙන් පිරී ඉතිරී ගියේය,ක්‍රීඩා ලෝලීන් ක්‍රීඩාංගණය පිරවූහ,0.5,heavy_paraphrase,0.9722858,0.54616916
පරිසරය ආරක්ෂා කිරීම අපගේ වගකීමකි,පරිසරය සුරැකීම සඳහා වගකීම ඇත්තේ අපටය,0.5,heavy_paraphrase,0.8447491,0.7222053
විද්‍යාඥයන් විසින් රෝගයට ප්‍රතිකාරයක් සොයා ගන්නා ලදී,රෝගය සුව කිරීමට ඖෂධයක් විද්‍යාඥයින් විසින් සොයා ගනු ලැබීය,0.5,heavy_paraphrase,0.9838237,0.64924
වැස්ස නිසා සියලුම එළිමහන් වැඩ නතර විය,එළිමහනේ තිබූ වැඩ සියල්ලම වැස්ස නිසා නවතා දැමුවා,0.5,heavy_paraphrase,0.9588961,0.68999803
රෝහලේ වෛද්‍යවරුන් රාත්‍රියේ වැඩ කළා,වෛද්‍ය කාර්ය මණ්ඩලය රෝහලේ රාත්‍රී සේවයේ යෙදී සිටියා,0.5,heavy_paraphrase,0.9245299,0.5004945
පුස්තකාලය නව දැනුම සඳහා දොරටුවකි,අලුත් දැනුම සොයා යන දොරටුව ලෙස පුස්තකාලය හැඳින්විය හැක,0.5,heavy_paraphrase,0.9491942,0.8116368
ජනතාව තම නායකයාට සහයෝගය දැක්වූහ,නායකයාට ජනතාවගේ පූර්ණ සහයෝගය ලැබුණා,0.5,heavy_paraphrase,0.98057795,0.74427664
විපක්ෂය රජයේ නව යෝජනාවට විරෝධය දැක්වීය,ආණ්ඩුවේ අලුත් යෝජනාවට විරුද්ධ පක්ෂය අකමැති විය,0.5,heavy_paraphrase,0.95133394,0.5653699
අලියා ජලයෙන් පිරුණු පොකුණක සිටියේය,ජලයෙන් පිරී තිබූ පොකුණක අලියා ගැවසෙමින් සිටියා,0.5,heavy_paraphrase,0.95316947,0.8895986
ගුවන් යානය ආරක්ෂිතව ගොඩ බැස්සවීය,ගුවන් යානය බිමට ආරක්ෂිතව පතිත කරනු ලැබීය,0.5,heavy_paraphrase,0.8893072,0.7760207
අපි මේ ප්‍රශ්නයට විසඳුමක් සොයාගත යුතුයි,මෙම ගැටලුවට නිවැරදි විසඳුමක් අප සොයා බැලිය යුතුය,0.5,heavy_paraphrase,0.90928185,0.90375876
සමාජයේ සෑම දෙනාටම යුක්තිය ඉටු විය යුතුය,යුක්තිය සමාජයේ සියලු දෙනාටම ලබා දිය යුතුය,0.5,heavy_paraphrase,0.98493534,0.9517391
ඉතිහාසඥයන් පැරණි සිදුවීම් වාර්තා කරයි,පැරණි සිද්ධීන් ඉතිහාසඥයින් විසින් ලේඛනගත කරනු ලැබේ,0.5,heavy_paraphrase,0.9654076,0.7517053
පාසල් නිවාඩු කාලය ළඟදීම ආරම්භ වේ,ළමයින්ගේ පාසල් නිවාඩුව ඉක්මනින්ම එනවා,0.5,heavy_paraphrase,0.9686899,0.8901713
ළමයි තෑග්ග ගැන සතුටු වුණා,ළමයින්ට තෑග්ග ලැබීමෙන් ප්‍රීතියක් ඇති විය,0.5,heavy_paraphrase,0.8781609,0.5006583
මම පොතක් කියවියෙමි,අද කාලගුණය උණුසුම්ය,0.0,unrelated,0.6715629,0.020907575
සමාගමේ ලාභය වැඩි විය,කුරුල්ලන් කූඩුවල ජීවත් වෙති,0.0,unrelated,0.59460104,-0.061663285
දේශපාලනඥයා ජනතාව ඇමතීය,ඔහු තම බල්ලා සමඟ සෙල්ලම් කළේය,0.0,unrelated,0.5888217,-0.009813646
මගේ පියා ගෙදරට තීන්ත ආලේප කළේය,මෙම චිත්‍රපටයේ කතාව ඉතා රසවත් ය,0.0,unrelated,0.86090267,-0.06384702
අලියා පොකුණට බැස්සේය,වෛද්‍යවරයා හෙට පැමිණේ,0.0,unrelated,0.58237356,-0.09148322
සූර්යයා උදෑසන නැගී එයි,මම මගේ විභාගයෙන් සමත් වුණා,0.0,unrelated,0.6419272,0.031586505
විද්‍යාඥයන් අඟහරු වෙත ගමන් කළහ,මගේ අසල්වැසියා ගොවියෙකි,0.0,unrelated,0.54646087,-0.0717069
අපි කඳු තරණය කළා,මගේ බයිසිකලයේ ටයරය පුපුරා ගියා,0.0,unrelated,0.5763786,0.04254206
පාසලේ ගුරුවරු පුහුණු කළා,ගුවන් තොටුපළට යාමට මාර්ගය සොයන්න,0.0,unrelated,0.59842944,-0.015244445
සෑම කෙනෙකුටම නිදහසේ ජීවත් විය හැකිය,පාන් හදන්න පිටි ඕන,0.0,unrelated,0.42506495,-0.11884312
පාරේ වාහන තදබදයක් තිබුණා,ළමයා බෝලයක් සමඟ සෙල්ලම් කළේය,0.0,unrelated,0.47625446,-0.020645993
සතුටින් ජීවත් වීම ඉතා වැදගත් ය,දුම්රිය ගමන හරිම වේගවත්,0.0,unrelated,0.37899566,0.04740253
ප්‍රතිසංස්කරණ ගැන කැබිනට් මණ්ඩලය සාකච්ඡා කළේය,මගේ බළලා රාත්‍රියේ නිදා ගනී,0.0,unrelated,0.5667066,-0.06475774
පුරාණ විහාරය දැකීමට පැමිණියහ,මම සාප්පු සවාරි යන්න තීරණය කළා,0.0,unrelated,0.65158886,-0.08339468
අපගේ ආර්ථිකය දියුණු වෙමින් පවතී,මගේ ශරීරය සෞඛ්‍ය සම්පන්නයි,0.0,unrelated,0.547032,-0.11562347
කලාකරුවා නව චිත්‍රයක් නිර්මාණය කළේය,වහිනකොට අපි ගෙදර නැවතුණා,0.0,unrelated,0.60825557,-0.040516786
සාමය පවත්වා ගැනීම අපහසුය,මුහුදේ ලොකු නැවක් තියෙනවා,0.0,unrelated,0.35838532,-0.044960655
තාක්ෂණය අපගේ ජීවිත වෙනස් කරයි,අපි කඩෙන් රසකැවිලි ගත්තා,0.0,unrelated,0.3356825,0.021792257
කැරැල්ල දැඩි ලෙස මර්දනය කළේය,අද මට රාත්‍රී ආහාරය සඳහා බත් ඕන,0.0,unrelated,0.72059107,-0.07672438
ජලය පෘථිවියේ ජීවය සඳහා අත්‍යවශ්‍ය වේ,මම පින්සලකින් පින්තාරු කළා,0.0,unrelated,0.64270663,-0.055549175
ප්‍රදේශවාසීහු පාර පිරිසිදු කළහ,ගිම්හානයේදී දවස දිගු වේ,0.0,unrelated,0.8162707,-0.114975885
සියලු දෙනාම නිල ඇඳුමින් සැරසී සිටියහ,පරීක්ෂණ ප්‍රතිඵල නිකුත් විය,0.0,unrelated,0.68850297,-0.012557973
වාර්තා චිත්‍රපටය ඉතිහාසය ආවරණය කළේය,දැන් වෙලාව හයයි,0.0,unrelated,0.77507603,0.07456278
ලෝකය නව අභියෝගවලට මුහුණ දෙමින් සිටී,මම මගේ යතුරු පුවරුව පිරිසිදු කළා,0.0,unrelated,0.6282823,-0.08679862
සෑම පුරවැසියෙකුටම අධ්‍යාපනයට අයිතියක් ඇත,මගේ පොතේ මිල වැඩියි,0.0,unrelated,0.64648306,-0.046407275
