sentence_1,sentence_2,label,source
සෞඛ්‍ය සම්පන්නව ජීවත් වීමට නම් පෝෂණය සපිරි කෑම ගැනීම වැදගත්ය,අන්තර්ජාලය හරහා තොරතුරු ඉක්මනින් ලබා ගත හැක,0.01,unrelated
වන සතුන් ආරක්ෂා කිරීම ජෛව විවිධත්වය රැක ගැනීමට අත්‍යවශ්‍ය වේ,ඉලෙක්ට්‍රොනික බැංකු ක්‍රමය නිසා මුදල් හුවමාරු කිරීම ඉතා වේගවත් වී ඇත,0.08,unrelated
සොෆ්ට්වෙයාර් යොදාගෙන අසීරු ගණනය කිරීම් ඉතා පහසුවෙන් නිම කළ හැක,මහනුවර නගරය කඳුකර ප්‍රදේශයේ පිහිටා ඇත,0.22,unrelated
අහස අද ඉතා පැහැදිලිය,අද දවසේ අහසේ වලාකුළු නොමැති අතර එය ඉතාමත් නිරවුල්ව පෙනේ,0.8,existing
ප්ලාස්ටික් භාවිතය අවම කිරීමෙන් පරිසර හානිය වළක්වා ගත හැක,පෘථිවිය සූර්යයා වටා ගමන් කරන ග්‍රහලෝකයකි,0.0,existing
අභ්‍යවකාශ ගවේෂණය මගින් විශ්වය පිළිබඳ නව තොරතුරු හෙළි වේ,ලංකාව යනු ඉන්දීය සාගරයේ පිහිටා ඇති දූපතක් වන රටකි,0.18,unrelated
නවීන තාක්ෂණය භාවිතයෙන් කාර්යයන් වඩාත් වේගවත්ව සිදු කළ හැක,සොෆ්ට්වෙයාර් යොදාගෙන අසීරු ගණනය කිරීම් ඉතා පහසුවෙන් නිම කළ හැක,0.28,unrelated
මිනිස් අයිතිවාසිකම්වලට ගරු කිරීම උසස් සමාජයක මූලික ගුණයකි,අධ්‍යාපන ක්ෂේත්‍රයේ දියුණුව රටේ ප්‍රගතියට බලපායි,0.1,unrelated
සාහිත්‍යය මගින් මිනිසාගේ චින්තනය සහ රසඥතාව වර්ධනය වේ,නවීන යන්ත්‍රෝපකරණ භාවිතයෙන් කෘෂිකාර්මික අස්වැන්න වැඩි කළ හැක,0.0,existing
"ද්‍රව්‍ය පිළිබඳ ලදදැනුමහා අවබෝධයත්, ඒ ඇසුරින් නිර්මාණය කරගත් පරිකල්පිත දැනුමත් විද්‍යාව නම් වේ","ද්‍රව්‍ය පිළිබඳ ලදදැනුමහා අවබෝධයත්, ඒ ඇසුරින් නිර්මාණය කරගත් පරිකල්පිත දැනුමත් විද්‍යාව නම් වේ",1.0,identity
සතුන් සුරැකීමෙන් ස්වභාවධර්මයේ සමතුලිතතාවය ආරක්ෂා කර ගත හැක,සංචාරක කර්මාන්තය ශ්‍රී ලංකාවේ ආර්ථිකයට විශාල ශක්තියකි,0.07,unrelated
සීගිරිය යනු ලොව පුරා ප්‍රසිද්ධ ඓතිහාසික ස්ථානයකි,වෛද්‍ය පර්යේෂණ මගින් මාරාන්තික රෝග සඳහා නව ඖෂධ සොයා ගනී,0.0,existing
සාගර දූෂණය නිසා මුහුදු ජීවීන් විනාශයට පත් වේ,මුහුදු ජලයට වස විස එකතු වීමෙන් සාගර පරිසර පද්ධතියට විශාල තර්ජනයක් වේ,0.7,existing
කලා ශිල්ප මගින් රටක සංස්කෘතික අනන්‍යතාවය ලොවට විදහා දක්වයි,කලා ශිල්ප මගින් රටක සංස්කෘතික අනන්‍යතාවය ලොවට විදහා දක්වයි,1.0,identity
කලා ක්ෂේත්‍රය සමාජ සංස්කෘතිය ප්‍රචාරයට උපකාරී වේ,කලා ක්ෂේත්‍රය සමාජ සංස්කෘතිය ප්‍රචාරයට උපකාරී වේ,1.0,identity
සූර්ය කෝෂ මගින් බලශක්තිය ලබා ගැනීම ස්වභාවධර්මය සුරකින ක්‍රියාවකි,ඉන්ටර්නෙට් භාවිතයෙන් අවශ්‍ය තොරතුරු වේගයෙන් සෙවිය හැක,0.24,unrelated
සංචාරක කර්මාන්තය ශ්‍රී ලංකාවේ ආර්ථිකයට විශාල ශක්තියකි,සංචාරක කර්මාන්තය ශ්‍රී ලංකාවේ ආර්ථිකයට විශාල ශක්තියකි,1.0,identity
නවීන උපකරණ භාවිතය නිසා මිනිස් ශ්‍රමය ඉතිරි කර ගැනීමට හැකි වී ඇත,එම ප්‍රත්‍යක්ෂයන්ගේ නිරවද්‍යම යැයි සැලකිය හැකි ප්‍රත්‍යක්ෂයන් විද්‍යාව ලෙස හැදින්වේ,0.17,unrelated
ආර්ථික වර්ධනය ජන ජීවන මට්ටම ඉහළ නැංවීමට උපකාරී වේ,විදුලිය ඉතිරි කිරීම මගින් පුද්ගලික වියදම් මෙන්ම ජාතික සම්පත්ද සුරැකේ,0.23,unrelated
පරීක්ෂණයකින් උසස් ලෙස සමත් වීමට නම් කල්තියා පාඩම් කිරීම අත්‍යවශ්‍ය වේ,සීගිරිය යනු ලොව පුරා ප්‍රසිද්ධ ඓතිහාසික කලාගාරයකි,0.28,unrelated
සමාජ මාධ්‍ය භාවිතය පුද්ගල සබඳතා කෙරෙහි බලපෑම් ඇති කරයි,ඉර වටා කක්ෂගතව භ්‍රමණය වන එක් ග්‍රහයෙක් වන්නේ අප ජීවත් වන පෘථිවියයි,0.19,unrelated
දළ දේශීය නිෂ්පාදිතය ඉහළ යාමෙන් සාමාන්‍ය ජනයාගේ සැප සම්පත් වැඩි වේ,අනුරාධපුරය පැරණි රජදහනක් ලෙස හැඳින්වේ,0.23,unrelated
චිත්‍ර කලාව සහ සංගීතය මගින් සමාජයේ සංස්කෘතික වටිනාකම් ප්‍රචාරය කරයි,ඛනිජ තෙල් භාවිතය සීමා කිරීම පරිසර දූෂණය අවම කිරීමට හේතු වේ,0.18,unrelated
බෞද්ධ දර්ශනයට අනුව මෙහි විද්‍යාව ලෙස අදහස් කරනුයේ නවීන බටහිර  විද්‍යාව නොව ලෝකෝත්තර  චතුරාර්ය සත්‍යය පිලිබඳ දැනීම නම්වූ විද්‍යාවයි,පිටරටින් පැමිණෙන ආයෝජන හරහා රටකට අලුත් දැනුම සහ ධනය එකතු වේ,0.11,unrelated
නවීන තාක්ෂණය භාවිතයෙන් කාර්යයන් වඩාත් වේගවත්ව සිදු කළ හැක,ප්ලාස්ටික් පාවිච්චිය සීමා කිරීම පරිසරය සුරැකීමට මහත් රුකුලකි,0.17,unrelated
විවිධ ග්‍රන්ථ කියවීමෙන් පුද්ගලයාගේ බුද්ධි මට්ටම වර්ධනය කර ගත හැක,ෆේස්බුක් වැනි සමාජ ජාල නිසා මිනිසුන් අතර පවතින සබඳතා වෙනස් වී ඇත,0.15,unrelated
බොහෝවෙනත් විකිපීඩියා තිබේ; විශාලතම ඒවායින් සමහරක් පහත ලැයිස්තුගත කර ඇත,බොහෝවෙනත් විකිපීඩියා තිබේ; විශාලතම ඒවායින් සමහරක් පහත ලැයිස්තුගත කර ඇත,1.0,identity
අනුරාධපුරය ශ්‍රී ලංකාවේ පුරාණ අගනුවරක් විය,ලෝකයේ පවතින දැවැන්තම ක්‍රීඩා තරඟාවලිය ඔලිම්පික් උළෙලයි,0.17,unrelated
පාරිසරික සමතුලිතතාවය රැක ගැනීම මතු පරපුර වෙනුවෙන් කරන ආයෝජනයකි,පැරණි බිතුසිතුවම් මගින් අතීත සමාජයේ තොරතුරු හෙළි වේ,0.0,existing
තාක්ෂණික දියුණුව වැඩිවීම නිසා වැඩ කාර්යක්ෂමතාව ඉහළ යයි,සාම්ප්‍රදායික නර්තන කලාව අපේ සංස්කෘතියේ වටිනා උරුමයකි,0.0,existing
අම්මා විසින් කුඩා බිළිඳාට ආහාර ලබා දුන්නේ ඉතාමත් සෙනෙහසිනි,අම්මා විසින් කුඩ බිළිඳාට ආහාර ලබා දුන්නේ ඉතාමත්මත් සෙනෙහසිනි,0.75,paraphrase
සාහිත්‍යය මගින් මිනිසාගේ චින්තනය සහ රසඥතාව වර්ධනය වේ,අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,0.0,existing
ජලය වියළීමෙන් පරිසරයට හානියක් සිදු විය හැක,ශ්‍රී ලංකාවට ආසන්න ම රටවල්ලෙස ඉන්දියාව සහමාලදිවයිනහැදින්විය හැකි ය,0.24,unrelated
සීගිරිය යනු ලොව පුරා ප්‍රසිද්ධ ඓතිහාසික ස්ථානයකි,ගුවන් යානා තාක්ෂණය ලෝකය පුරා ගමනාගමනය පහසු කර ඇත,0.0,existing
විදුලි බලය ජන ජීවිතයේ අත්‍යවශ්‍ය කොටසක් වී ඇත,මහජන ප්‍රවාහන සේවා අතර දුම්රිය ගමනාගමනයට වැඩි ඉල්ලුමක් පවතී,0.09,unrelated
හිරු එළියෙන් විදුලිය නිපදවීම පරිසර හිතකාමී ක්‍රමයකි,සූර්ය බලශක්තිය භාවිත කිරීමෙන් සොබාදහමට හානියක් නොවන සේ බලශක්තිය නිපදවිය හැක,0.7,existing
කෘතිම බුද්ධිය අනාගත ලෝකයේ ප්‍රධාන තාක්ෂණයකි,කෘතිම බුද්ධිය අනාගත ලෝකයේ ප්‍රධාන තාක්ෂණයකි,1.0,identity
ඔලිම්පික් උළෙල ලොව විශාලතම ක්‍රීඩා උත්සවය ලෙස සැලකේ,ලෝකයේ පවතින දැවැන්තම ක්‍රීඩා තරඟාවලිය ඔලිම්පික් උළෙලයි,0.8,existing
අධ්‍යාපන ක්ෂේත්‍රයේ දියුණුව රටේ ප්‍රගතියට බලපායි,අධ්‍යාපන ක්ෂේත්‍රයේ දියුණුව රාජ්‍යයේ ප්‍රගතියට බලපායි,0.79,paraphrase
එළඹෙන සතියේදී පාසල් වාරය නිමාවට පත්වනු ඇත,විශ්වයේ රහස් සොයා ගැනීම සඳහා සිදුකරන ගවේෂණ මගින් අලුත් දත්ත රාශියක් ලැබේ,0.2,unrelated
විදුලි බලය ජන ජීවිතයේ අත්‍යවශ්‍ය කොටසක් වී ඇත,නවීන තාක්ෂණය භාවිතයෙන් කාර්යයන් වඩාත් වේගවත්ව සිදු කළ හැක,0.09,unrelated
ප්ලාස්ටික් භාවිතය අවම කිරීමෙන් පරිසර හානිය වළක්වා ගත හැක,කලා ශිල්ප මගින් රටක සංස්කෘතික අනන්‍යතාවය ලොවට විදහා දක්වයි,0.0,existing
පැරණි බිතුසිතුවම් මගින් අතීත සමාජයේ තොරතුරු හෙළි වේ,පැරණි බිතුසිතුවම් තුළින් අතීත සමාජයේ තොරතුරු හෙළි වේ,0.78,paraphrase
අන්තර්ජාලය හරහා තොරතුරු ඉක්මනින් ලබා ගත හැක,AI තාක්ෂණය අනාගතයේ වැදගත් භූමිකාවක් ඉටු කරනු ඇත,0.01,unrelated
මුහුදට අපද්‍රව්‍ය බැහැර කිරීම නිසා සාගර සතුන්ගේ ජීවිත අනතුරේ වැටේ,ශ්‍රී ලංකාවේ ඉතිහාසය දිගු කාලයකට පැතිරී ඇත,0.02,unrelated
වැසි කාලයට ඩෙංගු රෝගය පැතිරීමේ අවදානම වැඩිය,අධික වර්ෂාව පවතින සමයේ ඩෙංගු උණ වැළඳීමේ ප්‍රවණතාව ඉහළ යයි,0.8,existing
නීතිය සමාජයේ සාමය සහ සාධාරණත්වය රැක ගනී,කාලගුණික විපර්යාස නිසා ලෝකයේ අයිස් කඳු දිය වෙමින් පවතී,0.0,existing
ජාතික උරුමයන් සුරැකීම පුරවැසියන්ගේ වගකීමක් ලෙස සැලකේ,දුම්රිය සේවය පොදු ප්‍රවාහනයේ වැදගත් අංගයකි,0.0,existing
සෞඛ්‍ය සම්පන්න දිවියකට ජලය පානය කිරීම වැදගත් වේ,සෞඛ්‍ය සම්පන්න දිවියකට ජලය පානය කිරීම වැදගත් වේ,1.0,identity
ලෝකයේ පවතින දැවැන්තම ක්‍රීඩා තරඟාවලිය ඔලිම්පික් උළෙලයි,මෙම වචනය බෞද්ධ දර්ශනය තුලින් සිංහලයට පරිනාමය වූ වචනයකි,0.15,unrelated
හිරු එළියෙන් විදුලිය නිපදවීම පරිසර හිතකාමී ක්‍රමයකි,සූර්ය කෝෂ මගින් බලශක්තිය ලබා ගැනීම ස්වභාවධර්මය සුරකින ක්‍රියාවකි,0.8,existing
කාලගුණික විපර්යාස නිසා ලෝකයේ අයිස් කඳු දිය වෙමින් පවතී,කාලගුණික විපර්යාස නිසා ලෝකයේ අයිස් කඳු දිය වෙමින් පවතී,1.0,existing
අම්මා විසින් කුඩා බිළිඳාට ආහාර ලබා දුන්නේ ඉතාමත් සෙනෙහසිනි,විදේශ ආයෝජන මගින් රටකට නව තාක්ෂණය සහ ප්‍රාග්ධනය ලැබේ,0.05,unrelated
"විවිධ නම් ගණනාවකින් පුරාණයේ හැඳින්වූ මෙම දූපත""නම් දහසක් ඇති දූපත""ලෙස ප්‍රචලිත ද විය",දළ දේශීය නිෂ්පාදිතය ඉහළ යාමෙන් සාමාන්‍ය ජනයාගේ සැප සම්පත් වැඩි වේ,0.3,unrelated
කලා ශිල්ප මගින් රටක සංස්කෘතික අනන්‍යතාවය ලොවට විදහා දක්වයි,සාගර දූෂණය නිසා මුහුදු ජීවීන් විනාශයට පත් වේ,0.0,existing
රටක් ප්‍රගතිය කරා ගමන් කිරීමට නම් සමාජය තුළ සමගිය තිබිය යුතුය,රාජ්‍යයක් ප්‍රගතිය කරා ගමන් කිරීමට නම් සමාජය තුළ සමගිය තිබිය යුතුය,0.85,paraphrase
නිසි වේලාවට ආහාර ගැනීම ලෙඩ රෝගවලින් ආරක්ෂා වීමට මගකි,තාක්ෂණික දියුණුව වැඩිවීම නිසා වැඩ කාර්යක්ෂමතාව ඉහළ යයි,0.0,existing
ලංකාවේ ඉතිහාසය වසර දහස් ගණනක් ඈතට දිව යයි,විදුලිය ඉතිරි කිරීම මගින් පුද්ගලික වියදම් මෙන්ම ජාතික සම්පත්ද සුරැකේ,0.0,existing
කැළි කසළ කළමනාකරණය නගර අලංකාරයට සහ සෞඛ්‍යයට වැදගත් වේ,එම ඉන්ද්‍රීන් මගින් ග්‍රහනය කරගන්නා ලෝකය මොළය මගින් ප්‍රත්‍යක්ෂ කර ගනී,0.19,unrelated
කාලගුණික විපර්යාස නිසා ලෝකයේ අයිස් කඳු දිය වෙමින් පවතී,පරිසර උෂ්ණත්වය ඉහළ යාම නිසා ධ්‍රැවීය ප්‍රදේශවල අයිස් තට්ටු දියවී යයි,0.8,existing
ලොවක් හඳුනන පුරාණ කලාගාරයක් ලෙස සීගිරි පර්වතය හැඳින්විය හැක,ලොවක් හඳුනන පුරාණ කලාගාරයක් අන්දමට සීගිරි පර්වතය හැඳින්විය හැක,0.89,paraphrase
රට තුළ පවතින කර්මාන්ත දියුණු කිරීමෙන් නිෂ්පාදන ප්‍රමාණය වැඩි කර ගත හැකිය,"නමුත් උපතේ සිට ඹහු ඇස, කණ, දිව, නාසය, සම යන ඉන්ද්‍රීන් මගින් භාහිර ලෝකය ග්‍රහණය කරගනී",0.03,unrelated
අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,රටේ සංස්කෘතික දායාද රැක ගැනීම සියලු දෙනාගේම යුතුකමකි,0.14,unrelated
අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,රටක දියුණුව සඳහා ඉගෙනුම් ක්‍රියාවලිය අත්‍යවශ්‍ය සාධකයකි,0.8,existing
ෆේස්බුක් වැනි සමාජ ජාල නිසා මිනිසුන් අතර පවතින සබඳතා වෙනස් වී ඇත,ෆේස්බුක් වැනි සමාජ ජාල හේතුවෙන් මිනිසුන් අතර පවතින සබඳතා වෙනස් වී තිබේ,0.81,paraphrase
වෛද්‍ය පර්යේෂණ මගින් මාරාන්තික රෝග සඳහා නව ඖෂධ සොයා ගනී,බැංකු ක්ෂේත්‍රය ඩිජිටල්කරණය වීම නිසා මුදල් ගනුදෙනු පහසු වී ඇත,0.0,existing
සීගිරිය යනු ලොව පුරා ප්‍රසිද්ධ ඓතිහාසික ස්ථානයකි,නීතිය සමාජයේ සාමය සහ සාධාරණත්වය රැක ගනී,0.0,existing
ජාතික උරුමයන් සුරැකීම පුරවැසියන්ගේ වගකීමක් ලෙස සැලකේ,රටේ සංස්කෘතික දායාද රැක ගැනීම සියලු දෙනාගේම යුතුකමකි,0.8,existing
වැසි කාලයට ඩෙංගු රෝගය පැතිරීමේ අවදානම වැඩිය,වැසි කාලයට ඩෙංගු රෝගය පැතිරීමේ අවදානම වැඩිය,1.0,identity
තාක්ෂණික දියුණුව වැඩිවීම නිසා වැඩ කාර්යක්ෂමතාව ඉහළ යයි,නවීන උපකරණ භාවිතය නිසා මිනිස් ශ්‍රමය ඉතිරි කර ගැනීමට හැකි වී ඇත,0.7,existing
අතීතයෙන් උරුම වූ නැටුම් කලාව අපේ රටේ වැදගත් සංස්කෘතික සම්පතකි,පරිසර උෂ්ණත්වය ඉහළ යාම නිසා ධ්‍රැවීය ප්‍රදේශවල අයිස් තට්ටු දියවී යයි,0.19,unrelated
දේශීය කර්මාන්ත නගා සිටුවීමෙන් රටේ නිෂ්පාදන ධාරිතාව ඉහළ යයි,වර්තමාන ලෝකයේ බොහෝ වැඩ කටයුතු සඳහා පරිගණක තාක්ෂණය අත්‍යවශ්‍ය වී තිබේ,0.16,unrelated
අනුරාධපුරය ශ්‍රී ලංකාවේ පුරාණ අගනුවරක් විය,අනුරාධපුරය ශ්‍රී ලංකාවේ පුරාණ අගනුවරක් විය,1.0,identity
මහජනතාව විසින් පාලනය මෙහෙයවනු ලබන ක්‍රමය ප්‍රජාතන්ත්‍රවාදී පාලනයයි,පුනර්ජනනීය බලශක්තිය භාවිතය මගින් විදුලි අර්බුදයට විසඳුම් සෙවිය හැක,0.27,unrelated
වර්තමාන ලෝකයේ බොහෝ වැඩ කටයුතු සඳහා පරිගණක තාක්ෂණය අත්‍යවශ්‍ය වී තිබේ,ශ්‍රී ලංකාවට ආසන්න ම රටවල්ලෙස ඉන්දියාව සහමාලදිවයිනහැදින්විය හැකි ය,0.17,unrelated
පාසල් වාරය ලබන සතියේ අවසන් වේ,එළඹෙන සතියේදී පාසල් වාරය නිමාවට පත්වනු ඇත,0.8,existing
ප්ලාස්ටික් පාවිච්චිය සීමා කිරීම පරිසරය සුරැකීමට මහත් රුකුලකි,පරිසර උෂ්ණත්වය ඉහළ යාම නිසා ධ්‍රැවීය ප්‍රදේශවල අයිස් තට්ටු දියවී යයි,0.3,unrelated
මුහුදට අපද්‍රව්‍ය බැහැර කිරීම නිසා සාගර සතුන්ගේ ජීවිත අනතුරේ වැටේ,මුහුදට අපද්‍රව්‍ය බැහැර කිරීම නිමිත්තෙන් සාගර සතුන්ගේ ජීවිත අනතුරේ වැටේ,0.86,paraphrase
අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,නිසි වේලාවට ආහාර ගැනීම ලෙඩ රෝගවලින් ආරක්ෂා වීමට මගකි,0.0,existing
කය වෙහෙසා කරන සෙල්ලම් මගින් ශාරීරික සුවය මෙන්ම මානසික සතුටද ලැබේ,මෙම වචනය බෞද්ධ දර්ශනය තුලින් සිංහලයට පරිනාමය වූ වචනයකි,0.07,unrelated
පුස්තකාල සුචියපුස්තකාල ද්‍රව්‍යයන්ගේ ග්‍රන්ථ විද්‍යාත්මකතොරතුරුඇතුළත් රෙජිස්ටරයක් වන අතර එය තනි පුස්තකාලයක හෝ පුස්තකාල ජාලයක එකතුවක් විය හැකිය,පුස්තකාල සුචියපුස්තකාල ද්‍රව්‍යයන්ගේ ග්‍රන්ථ විද්‍යාත්මකතොරතුරුඇතුළත් රෙජිස්ටරයක් වන අතර එය තනි පුස්තකාලයක හෝ පුස්තකාල ජාලයක එකතුවක් විය හැකිය,1.0,identity
පොත් කියවීම දැනුම ලබා ගැනීමට ඇති හොඳම මාර්ගයයි,විවිධ ග්‍රන්ථ කියවීමෙන් පුද්ගලයාගේ බුද්ධි මට්ටම වර්ධනය කර ගත හැක,0.7,existing
නීතිය සමාජයේ සාමය සහ සාධාරණත්වය රැක ගනී,සමාජයක සාමකාමී පැවැත්මට සහ යුක්තිය ඉටු වීමට නීති පද්ධතිය වැදගත් වේ,0.8,existing
සාහිත්‍යය මගින් මිනිසාගේ චින්තනය සහ රසඥතාව වර්ධනය වේ,ගස් වැල් කැපීම නිසා පෘථිවිය උණුසුම් වේ,0.27,unrelated
ආර්ථික වර්ධනය ජන ජීවන මට්ටම ඉහළ නැංවීමට උපකාරී වේ,දළ දේශීය නිෂ්පාදිතය ඉහළ යාමෙන් සාමාන්‍ය ජනයාගේ සැප සම්පත් වැඩි වේ,0.5,existing
අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,ශ්‍රී ලංකාව ඉන්දියන් සාගරයේ පිහිටි දූපතකි,0.0,existing
අද දවසේ අහසේ වලාකුළු නොමැති අතර එය ඉතාමත් නිරවුල්ව පෙනේ,අද දවසේ අහසේ වලාකුළු නොමැති අතර එය ඉතාමත් නිරවුල්ව පෙනේ,1.0,identity
එම ඉන්ද්‍රීන් මගින් ග්‍රහනය කරගන්නා ලෝකය මොළය මගින් ප්‍රත්‍යක්ෂ කර ගනී,පරිගණකය අද කාලයේ නැතුවම බැරි මෙවලමකි,0.1,unrelated
උපතේදී අයකු ක්‍රියා කරන්නේ හැඟීම් හා උත්තේජයන් මතය,උපතේදී අයකු ක්‍රියා කරන්නේ හැඟීම් හා උත්තේජයන් මතය,1.0,identity
එම ඉන්ද්‍රීන් මගින් ග්‍රහනය කරගන්නා ලෝකය මොළය මගින් ප්‍රත්‍යක්ෂ කර ගනී,එම ඉන්ද්‍රීන් මගින් ග්‍රහනය කරගන්නා ලෝකය මොළය මගින් ප්‍රත්‍යක්ෂ කර ගනී,1.0,identity
කලා ක්ෂේත්‍රය සමාජ සංස්කෘතිය ප්‍රචාරයට උපකාරී වේ,නවීන උපකරණ භාවිතය නිසා මිනිස් ශ්‍රමය ඉතිරි කර ගැනීමට හැකි වී ඇත,0.3,unrelated
පැරණි බිතුසිතුවම් මගින් අතීත සමාජයේ තොරතුරු හෙළි වේ,කැළි කසළ කළමනාකරණය නගර අලංකාරයට සහ සෞඛ්‍යයට වැදගත් වේ,0.18,unrelated
කලා ශිල්ප මගින් රටක සංස්කෘතික අනන්‍යතාවය ලොවට විදහා දක්වයි,කලා ශිල්ප තුළින් රටක සංස්කෘතික අනන්‍යතාවය ලොවට විදහා දක්වයි,0.9,paraphrase
විදුලිය ඉතිරි කිරීම මගින් පුද්ගලික වියදම් මෙන්ම ජාතික සම්පත්ද සුරැකේ,පරිසරය සුරැකීම අප සැමගේ වගකීමකි,0.03,unrelated
විදුලි බලය ජන ජීවිතයේ අත්‍යවශ්‍ය කොටසක් වී ඇත,ජල සම්පත් සුරැකීම පරිසරය රැක ගැනීමට වැදගත් වේ,0.18,unrelated
ගොවිතැන අපේ රටේ ප්‍රධාන ජීවනෝපාය මාර්ගයයි,තාක්ෂණික දියුණුව වැඩිවීම නිසා වැඩ කාර්යක්ෂමතාව ඉහළ යයි,0.0,existing
ජංගම දුරකථන භාවිතය නිසා සන්නිවේදනය ඉතා වේගවත් වී ඇත,කාලගුණික විපර්යාස නිසා ලෝකයේ අයිස් කඳු දිය වෙමින් පවතී,0.0,unrelated
රටේ ආර්ථිකය දියුණු වීමෙන් මිනිසුන්ගේ ජීවන තත්ත්වය උසස් වේ,දේශයේ ආර්ථිකය දියුණු වීමෙන් මිනිසුන්ගේ ජීවන තත්ත්වය උසස් වේ,0.87,paraphrase
ඛනිජ තෙල් භාවිතය සීමා කිරීම පරිසර දූෂණය අවම කිරීමට හේතු වේ,පෘථිවිය සූර්යයා වටා ගමන් කරන ග්‍රහලෝකයකි,0.0,existing
මව තම දරුවාට ආදරයෙන් කෑම කැවූවාය,වැසි කාලයට ඩෙංගු රෝගය පැතිරීමේ අවදානම වැඩිය,0.22,unrelated
වර්තමාන ලෝකයේ බොහෝ වැඩ කටයුතු සඳහා පරිගණක තාක්ෂණය අත්‍යවශ්‍ය වී තිබේ,ප්ලාස්ටික් පාවිච්චිය සීමා කිරීම පරිසරය සුරැකීමට මහත් රුකුලකි,0.12,unrelated
විදේශ ආයෝජන මගින් රටකට නව තාක්ෂණය සහ ප්‍රාග්ධනය ලැබේ,එම ඉන්ද්‍රීන් මගින් ග්‍රහනය කරගන්නා ලෝකය මොළය මගින් ප්‍රත්‍යක්ෂ කර ගනී,0.2,unrelated
රටක් දියුණු වීමට නම් මිනිසුන් අතර එකමුතුකම සහ සාමය තිබිය යුතුය,ඉලෙක්ට්‍රොනික බැංකු ක්‍රමය නිසා මුදල් හුවමාරු කිරීම ඉතා වේගවත් වී ඇත,0.07,unrelated
