sentence_1,sentence_2,label,type
සංචාරකයෝ පුරාණ විහාරය නැරඹීමට පැමිණියහ,සංචාරකයෝ පුරාණ විහාරය නැරඹීමට පැමිණියහ,1,identical
තාක්ෂණය අපගේ ජීවිත වෙනස් කරයි,තාක්ෂණය අපගේ ජීවිත වෙනස් කරයි,1,identical
කැරැල්ල දැඩි ලෙස මර්දනය කරන ලදී,කැරැල්ල දැඩි ලෙස මර්දනය කරන ලදී,1,identical
ජලය පෘථිවියේ ජීවය සඳහා අත්‍යවශ්‍ය වේ,ජලය පෘථිවියේ ජීවය සඳහා අත්‍යවශ්‍ය වේ,1,identical
ප්‍රදේශවාසීහු ස්වේච්ඡාවෙන් පාර පිරිසිදු කළහ,ප්‍රදේශවාසීහු ස්වේච්ඡාවෙන් පාර පිරිසිදු කළහ,1,identical
සියලු දෙනාම නිල ඇඳුමින් සැරසී සිටියහ,සියලු දෙනාම නිල ඇඳුමින් සැරසී සිටියහ,1,identical
වාර්තා චිත්‍රපටය ඉතිහාසය ආවරණය කළේය,වාර්තා චිත්‍රපටය ඉතිහාසය ආවරණය කළේය,1,identical
ලෝකය නව අභියෝගවලට මුහුණ දෙමින් සිටී,ලෝකය නව අභියෝගවලට මුහුණ දෙමින් සිටී,1,identical
සෑම පුරවැසියෙකුටම අධ්‍යාපනයට අයිතියක් ඇත,සෑම පුරවැසියෙකුටම අධ්‍යාපනයට අයිතියක් ඇත,1,identical
රජය නව නීති මාලාවක් ක්‍රියාත්මක කළා,ආණ්ඩුව අළුත් නීති මාලාවක් ක්‍රියාවට නැංවීය,0.8,light_paraphrase
දරුවන් උද්‍යානයේ සෙල්ලම් කරමින් සිටියහ,ළමයි උයනේ සෙල්ලම් කරමින් හිටියා,0.8,light_paraphrase
වාර්තාව ඊයේ ප්‍රකාශයට පත් කරන ලදී,සම්පූර්ණ වාර්තාව ඊයේ එළිදැක්වූවා,0.8,light_paraphrase
සමාගම නව වෙළඳපොළවල් සොයමින් සිටී,සමාගම අලුත් වෙළඳපලවල් ගවේෂණය කරමින් සිටිනවා,0.8,light_paraphrase
ශිෂ්‍යයා තම විභාගය සඳහා හොඳින් සූදානම් විය,ශිෂ්‍යයා තම පරීක්ෂණය වෙනුවෙන් හොඳින් සූදානම් වුණා,0.8,light_paraphrase
ගඟ අවට වනාන්තරයේ ගස් ගණනාවක් තිබේ,ගඟ අසල වනයේ ගස් කීපයක් තියෙනවා,0.8,light_paraphrase
ඔවුන් පල්ලියේ සාමකාමීව රැස් වූහ,ඔවුන් දේවස්ථානයේ නිශ්ශබ්දව එකතු වුණා,0.8,light_paraphrase
විශාල බස් රථයක් පාරේ ගමන් කළේය,විශාල බස් එකක් පාරේ ගියා,0.8,light_paraphrase
සංගීතය ශාලාවේ පැතිර ගියේය,සංගීතය මුළු ශාලාව පුරා පැතිරී තිබුණා,0.8,light_paraphrase
වෛද්‍යවරයා රෝගියාට ප්‍රතිකාර කළේය,වෛද්‍යවරයා ලෙඩාට බෙහෙත් කළා,0.8,light_paraphrase
පාසලේ විදුහල්පතිතුමා දරුවන්ට කතා කළේය,පාසලේ ප්‍රධානීවරයා දරුවන් ඇමතීය,0.8,light_paraphrase
මාධ්‍යවේදියා ප්‍රවෘත්ති වාර්තා කළේය,මාධ්‍යවේදියා පුවත් වාර්තා කළා,0.8,light_paraphrase
අමුත්තන් හෙට උදේ පැමිණීමට නියමිතය,අමුත්තන් හෙට උදෑසන එන්නට නියමිතයි,0.8,light_paraphrase
විශාල ගින්නක් වනාන්තරය පුරා පැතිර ගියේය,දැවැන්ත ගින්නක් වනය පුරා විහිදී ගියා,0.8,light_paraphrase
පුස්තකාලයාධිපතිතුමිය පොත් පිළිවෙලට තැබුවාය,පුස්තකාලයේ ප්‍රධානියා පොත් පිළිවෙළකට තැබුවා,0.8,light_paraphrase
ක්‍රීඩකයෝ සියලු දෙනාම ජයග්‍රහණයෙන් සතුටට පත් වූහ,ක්‍රීඩකයන් සියලු දෙනාම දිනීම ගැන සතුටු වුණා,0.8,light_paraphrase
ගුවන් යානය පැමිණීමට ප්‍රමාද විය,ගුවන් යානය පැමිණීමට පරක්කු වුණා,0.8,light_paraphrase
අපට නව නිවාසයක් මිලදී ගැනීමට සිදුවනු ඇත,අපට අලුත් නිවසක් මිළදී ගන්නට සිදුවේ,0.8,light_paraphrase
කඳුකර ප්‍රදේශයට දැඩි ලෙස හිම වැටුණා,කඳු ආශ්‍රිත පෙදෙසට අධික ලෙස හිම පතිත විය,0.8,light_paraphrase
පෞරාණික රජ මාලිගය කෞතුකාගාරයක් ලෙස විවෘත කරන ලදී,පැරණි රජවාසල දැන් කෞතුකාගාරයක් විදියට විවෘත කර තිබෙනවා,0.8,light_paraphrase
දරුවා සතුටින් සිනාසෙමින් සිටියේය,ළමයා ප්‍රීතියෙන් හිනා වෙමින් සිටියා,0.8,light_paraphrase
රෝගියාට හදිසි ශල්‍යකර්මයක් අවශ්‍ය විය,ලෙඩාට ක්ෂණික සැත්කමක් අවශ්‍ය වුණා,0.8,light_paraphrase
මම අලුත් ඇඳුම් කිහිපයක් මිලදී ගැනීමට වෙළඳසැලට ගියෙමි,මම අලුත් ඇඳුම් කීපයක් ගන්න සාප්පුවට ගියා,0.8,light_paraphrase
සමාජයේ සාමය පවත්වා ගැනීම ඉතා වැදගත් වේ,සමිතියේ සාමය තබා ගැනීම ඉතා වැදගත් දෙයකි,0.8,light_paraphrase
විශාල නගරවල වායු දූෂණය ඉහළ ගොස් ඇත,නගරවල පවතින අධික වායු දූෂණය වැඩි වී තිබේ,0.5,heavy_paraphrase
මන්ත්‍රීවරයාගේ කතාව ශ්‍රාවකයන්ගේ සිත් ගත්තේය,ශ්‍රාවකයින් මන්ත්‍රීවරයාගේ දෙසුම කෙරෙහි ආකර්ෂණය විය,0.5,heavy_paraphrase
රජය විසින් අධ්‍යාපන ප්‍රතිසංස්කරණ කිහිපයක් හඳුන්වා දෙන ලදී,අධ්‍යාපනයේ වෙනස්කම් ගණනාවක් ආණ්ඩුව විසින් ගෙන එන ලදී,0.5,heavy_paraphrase
ඔහු බස රථයකට නැගීය,බස මගින් ඔහු ගමන් ආරම්භ කළා,0.5,heavy_paraphrase
සෑම රටකම ආර්ථික ස්ථාවරත්වය වැදගත් වේ,ආර්ථිකය ස්ථාවරව තිබීම සියලු රටවලට ප්‍රයෝජනවත් ය,0.5,heavy_paraphrase
ගුරුවරිය පාඩම පැහැදිලි කළා,පාඩමේ අර්ථය සිසුන්ට තේරුම් කර දුන්නා,0.5,heavy_paraphrase
සමාගමේ වාර්ෂික ලාභය කැපී පෙනෙන ලෙස වැඩි විය,සැලකිය යුතු ලෙස වැඩි වූයේ සමාගමේ අවුරුදුපතා ලැබූ ලාභයයි,0.5,heavy_paraphrase
අපි කඳු තරණය කිරීමට පසුගිය සතියේ ගියෙමු,පසුගිය සතියේ කඳු නැගීම සඳහා අපි ගමන් කළා,0.5,heavy_paraphrase
ක්‍රීඩාංගණය රසිකයින්ගෙන් පිරී ඉතිරී ගියේය,ක්‍රීඩා ලෝලීන් ක්‍රීඩාංගණය පිරවූහ,0.5,heavy_paraphrase
පරිසරය ආරක්ෂා කිරීම අපගේ වගකීමකි,පරිසරය සුරැකීම සඳහා වගකීම ඇත්තේ අපටය,0.5,heavy_paraphrase
විද්‍යාඥයන් විසින් රෝගයට ප්‍රතිකාරයක් සොයා ගන්නා ලදී,රෝගය සුව කිරීමට ඖෂධයක් විද්‍යාඥයින් විසින් සොයා ගනු ලැබීය,0.5,heavy_paraphrase
වැස්ස නිසා සියලුම එළිමහන් වැඩ නතර විය,එළිමහනේ තිබූ වැඩ සියල්ලම වැස්ස නිසා නවතා දැමුවා,0.5,heavy_paraphrase
රෝහලේ වෛද්‍යවරුන් රාත්‍රියේ වැඩ කළා,වෛද්‍ය කාර්ය මණ්ඩලය රෝහලේ රාත්‍රී සේවයේ යෙදී සිටියා,0.5,heavy_paraphrase
පුස්තකාලය නව දැනුම සඳහා දොරටුවකි,අලුත් දැනුම සොයා යන දොරටුව ලෙස පුස්තකාලය හැඳින්විය හැක,0.5,heavy_paraphrase
ජනතාව තම නායකයාට සහයෝගය දැක්වූහ,නායකයාට ජනතාවගේ පූර්ණ සහයෝගය ලැබුණා,0.5,heavy_paraphrase
විපක්ෂය රජයේ නව යෝජනාවට විරෝධය දැක්වීය,ආණ්ඩුවේ අලුත් යෝජනාවට විරුද්ධ පක්ෂය අකමැති විය,0.5,heavy_paraphrase
අලියා ජලයෙන් පිරුණු පොකුණක සිටියේය,ජලයෙන් පිරී තිබූ පොකුණක අලියා ගැවසෙමින් සිටියා,0.5,heavy_paraphrase
ගුවන් යානය ආරක්ෂිතව ගොඩ බැස්සවීය,ගුවන් යානය බිමට ආරක්ෂිතව පතිත කරනු ලැබීය,0.5,heavy_paraphrase
අපි මේ ප්‍රශ්නයට විසඳුමක් සොයාගත යුතුයි,මෙම ගැටලුවට නිවැරදි විසඳුමක් අප සොයා බැලිය යුතුය,0.5,heavy_paraphrase
සමාජයේ සෑම දෙනාටම යුක්තිය ඉටු විය යුතුය,යුක්තිය සමාජයේ සියලු දෙනාටම ලබා දිය යුතුය,0.5,heavy_paraphrase
ඉතිහාසඥයන් පැරණි සිදුවීම් වාර්තා කරයි,පැරණි සිද්ධීන් ඉතිහාසඥයින් විසින් ලේඛනගත කරනු ලැබේ,0.5,heavy_paraphrase
පාසල් නිවාඩු කාලය ළඟදීම ආරම්භ වේ,ළමයින්ගේ පාසල් නිවාඩුව ඉක්මනින්ම එනවා,0.5,heavy_paraphrase
ළමයි තෑග්ග ගැන සතුටු වුණා,ළමයින්ට තෑග්ග ලැබීමෙන් ප්‍රීතියක් ඇති විය,0.5,heavy_paraphrase
මම පොතක් කියවියෙමි,අද කාලගුණය උණුසුම්ය,0,unrelated
සමාගමේ ලාභය වැඩි විය,කුරුල්ලන් කූඩුවල ජීවත් වෙති,0,unrelated
දේශපාලනඥයා ජනතාව ඇමතීය,ඔහු තම බල්ලා සමඟ සෙල්ලම් කළේය,0,unrelated
මගේ පියා ගෙදරට තීන්ත ආලේප කළේය,මෙම චිත්‍රපටයේ කතාව ඉතා රසවත් ය,0,unrelated
අලියා පොකුණට බැස්සේය,වෛද්‍යවරයා හෙට පැමිණේ,0,unrelated
සූර්යයා උදෑසන නැගී එයි,මම මගේ විභාගයෙන් සමත් වුණා,0,unrelated
විද්‍යාඥයන් අඟහරු වෙත ගමන් කළහ,මගේ අසල්වැසියා ගොවියෙකි,0,unrelated
අපි කඳු තරණය කළා,මගේ බයිසිකලයේ ටයරය පුපුරා ගියා,0,unrelated
පාසලේ ගුරුවරු පුහුණු කළා,ගුවන් තොටුපළට යාමට මාර්ගය සොයන්න,0,unrelated
සෑම කෙනෙකුටම නිදහසේ ජීවත් විය හැකිය,පාන් හදන්න පිටි ඕන,0,unrelated
පාරේ වාහන තදබදයක් තිබුණා,ළමයා බෝලයක් සමඟ සෙල්ලම් කළේය,0,unrelated
සතුටින් ජීවත් වීම ඉතා වැදගත් ය,දුම්රිය ගමන හරිම වේගවත්,0,unrelated
ප්‍රතිසංස්කරණ ගැන කැබිනට් මණ්ඩලය සාකච්ඡා කළේය,මගේ බළලා රාත්‍රියේ නිදා ගනී,0,unrelated
පුරාණ විහාරය දැකීමට පැමිණියහ,මම සාප්පු සවාරි යන්න තීරණය කළා,0,unrelated
අපගේ ආර්ථිකය දියුණු වෙමින් පවතී,මගේ ශරීරය සෞඛ්‍ය සම්පන්නයි,0,unrelated
කලාකරුවා නව චිත්‍රයක් නිර්මාණය කළේය,වහිනකොට අපි ගෙදර නැවතුණා,0,unrelated
සාමය පවත්වා ගැනීම අපහසුය,මුහුදේ ලොකු නැවක් තියෙනවා,0,unrelated
තාක්ෂණය අපගේ ජීවිත වෙනස් කරයි,අපි කඩෙන් රසකැවිලි ගත්තා,0,unrelated
කැරැල්ල දැඩි ලෙස මර්දනය කළේය,අද මට රාත්‍රී ආහාරය සඳහා බත් ඕන,0,unrelated
ජලය පෘථිවියේ ජීවය සඳහා අත්‍යවශ්‍ය වේ,මම පින්සලකින් පින්තාරු කළා,0,unrelated
ප්‍රදේශවාසීහු පාර පිරිසිදු කළහ,ගිම්හානයේදී දවස දිගු වේ,0,unrelated
සියලු දෙනාම නිල ඇඳුමින් සැරසී සිටියහ,පරීක්ෂණ ප්‍රතිඵල නිකුත් විය,0,unrelated
වාර්තා චිත්‍රපටය ඉතිහාසය ආවරණය කළේය,දැන් වෙලාව හයයි,0,unrelated
ලෝකය නව අභියෝගවලට මුහුණ දෙමින් සිටී,මම මගේ යතුරු පුවරුව පිරිසිදු කළා,0,unrelated
සෑම පුරවැසියෙකුටම අධ්‍යාපනයට අයිතියක් ඇත,මගේ පොතේ මිල වැඩියි,0,unrelated
