ID,word,synonym word
SY0112,උපදෙස්,මගපෙන්වීම
SY0113,ප්‍රවේශය,ක්‍රමවේදය
SY0114,ප්‍රවේශය,ක්‍රමය
SY0115,ක්‍රමවේදය,ක්‍රියාමාර්ගය
SY0116,පර්යේෂකයා,අධ්‍යයනකරුවා
SY0117,පර්යේෂකයා,විද්‍යාඥයා
SY0118,ආකෘතිය,මාදිලිය
SY0119,ආකෘතිය,සැලැස්ම
SY0120,වාර්තාව,ලේඛනය
SY0121,වාර්තාව,විස්තරය
SY0122,ආශ්‍රිතය,සම්බන්ධිතය
SY0123,අවධාරණය,අවධානය
SY0124,සාරාංශය,කෙටි විස්තරය
SY0125,හැඳින්වීම,පුරෝකථනය
SY0126,අදහස,සංකල්පය
SY0127,අදහස,මතය
SY0128,අර්ථදැක්වීම,විවරණය
SY0129,ඉදිරිපත් කිරීම,නිරූපණය
SY0130,ප්‍රකාශනය,නිෂ්පාදනය
SY0131,ප්‍රකාශනය,ප්‍රචාරය
SY0132,සංවාදය,විවාදය
SY0133,අදාලය,සම්බන්ධිතය
SY0134,අවශ්‍යතාවය,අවශ්‍යකම
SY0135,ආරම්භය,පටන්ගැන්ම
SY0136,සංග්‍රහය,එකතුව
SY0137,ඇතුළත් කිරීම,එකතු කිරීම
SY0138,ආශ්‍රය,සම්බන්ධතාවය
SY0139,තර්කය,සාධකය
SY0140,විචාරය,විශ්ලේෂණය
SY0141,විද්‍යාව,විද්‍යාත්මක දැනුම
SY0142,උදාහරණය,මූදර්ශනය
SY0143,විවරණය,විස්තරය
SY0144,අවධානය,යොමු කිරීම
SY0145,අභිප්‍රේරණය,ප්‍රේරණය
SY0146,ආකල්පය,අදහස
SY0147,නියමය,පනත
SY0148,ආධාරය,සහාය
SY0149,උත්සාහය,ව්‍යාපෘතිය
SY0150,ප්‍රතිපත්ති,මාර්ගෝපදේශ
SY0151,අනුමානය,පරිකල්පනය
SY0152,ආකෘතිකරණය,නිර්මාණය
SY0153,පර්යේෂණය,අධ්‍යයනය
SY0154,පර්යේෂණය,විද්‍යාත්මක අධ්‍යයනය
SY0155,පර්යේෂණය,විමර්ශනය
SY0156,අධ්‍යයනය,අධ්‍යාපනය
SY0157,අධ්‍යයනය,පර්යේෂණය
SY0158,ඇගයීම,විශ්ලේෂණය
SY0159,ඇගයීම,විමර්ශනය
SY0160,අගය කිරීම,ඇගයීම
SY0161,නිගමනය,නිෂ්කර්ෂය
SY0162,නිගමනය,අවසාන තීරණය
SY0163,නිර්දේශය,යෝජනාව
SY0164,නිර්දේශය,උපදෙස්
SY0165,සාකච්ඡාව,සංවාදය
SY0166,සාකච්ඡාව,විවාදය
SY0167,විශ්ලේෂණය,විමර්ශනය
SY0168,විශ්ලේෂණය,විචාරය
SY0169,දත්ත,තොරතුරු
SY0170,දත්ත,විස්තර
SY0171,ප්‍රතිඵල,නිමාව
SY0172,ප්‍රතිඵල,අවසාන තත්ත්වය
SY0173,පරිකල්පනය,උපකල්පනය
SY0174,උපකල්පනය,සංකල්පය
SY0175,අරමුණ,ඉලක්කය
SY0176,අරමුණ,පරමාර්ථය
SY0177,උපදෙස්,අනුශාසනය
SY0178,උපදෙස්,මගපෙන්වීම
SY0179,ප්‍රවේශය,ක්‍රමවේදය
SY0180,ප්‍රවේශය,ක්‍රමය
SY0181,ක්‍රමවේදය,ක්‍රියාමාර්ගය
SY0182,පර්යේෂකයා,අධ්‍යයනකරුවා
SY0183,පර්යේෂකයා,විද්‍යාඥයා
SY0184,ආකෘතිය,මාදිලිය
SY0185,ආකෘතිය,සැලැස්ම
SY0186,වාර්තාව,ලේඛනය
SY0187,වාර්තාව,විස්තරය
SY0188,ආශ්‍රිතය,සම්බන්ධිතය
SY0189,අවධාරණය,අවධානය
SY0190,සාරාංශය,කෙටි විස්තරය
SY0191,හැඳින්වීම,පුරෝකථනය
SY0192,අදහස,සංකල්පය
SY0193,අදහස,මතය
SY0194,අර්ථදැක්වීම,විවරණය
SY0195,ඉදිරිපත් කිරීම,නිරූපණය
SY0196,ප්‍රකාශනය,නිෂ්පාදනය
SY0197,ප්‍රකාශනය,ප්‍රචාරය
SY0198,සංවාදය,විවාදය
SY0199,අදාලය,සම්බන්ධිතය
SY0200,අවශ්‍යතාවය,අවශ්‍යකම
SY0201,ආරම්භය,පටන්ගැන්ම
SY0202,සංග්‍රහය,එකතුව
SY0203,ඇතුළත් කිරීම,එකතු කිරීම
SY0204,ආශ්‍රය,සම්බන්ධතාවය
SY0205,තර්කය,සාධකය
SY0206,විචාරය,විශ්ලේෂණය
SY0207,විද්‍යාව,විද්‍යාත්මක දැනුම
SY0208,උදාහරණය,මූදර්ශනය
SY0209,විවරණය,විස්තරය
SY0210,අවධානය,යොමු කිරීම
SY0211,අභිප්‍රේරණය,ප්‍රේරණය
SY0212,ආකල්පය,අදහස
SY0213,නියමය,පනත
SY0214,ආධාරය,සහාය
SY0215,උත්සාහය,ව්‍යාපෘතිය
SY0216,ප්‍රතිපත්ති,මාර්ගෝපදේශ
SY0217,අනුමානය,පරිකල්පනය
SY0218,ආකෘතිකරණය,නිර්මාණය
SY0219,පර්යේෂණය,අධ්‍යයනය
SY0220,පර්යේෂණය,විද්‍යාත්මක අධ්‍යයනය
SY0221,පර්යේෂණය,විමර්ශනය
SY0222,අධ්‍යයනය,අධ්‍යාපනය
SY0223,අධ්‍යයනය,පර්යේෂණය
SY0224,ඇගයීම,විශ්ලේෂණය
SY0225,ඇගයීම,විමර්ශනය
SY0226,අගය කිරීම,ඇගයීම
SY0227,නිගමනය,නිෂ්කර්ෂය
SY0228,නිගමනය,අවසාන තීරණය
SY0229,නිර්දේශය,යෝජනාව
SY0230,නිර්දේශය,උපදෙස්
SY0231,සාකච්ඡාව,සංවාදය
SY0232,සාකච්ඡාව,විවාදය
SY0233,විශ්ලේෂණය,විමර්ශනය
SY0234,විශ්ලේෂණය,විචාරය
SY0235,දත්ත,තොරතුරු
SY0236,දත්ත,විස්තර
SY0237,ප්‍රතිඵල,නිමාව
SY0238,ප්‍රතිඵල,අවසාන තත්ත්වය
SY0239,පරිකල්පනය,උපකල්පනය
SY0240,උපකල්පනය,සංකල්පය
SY0241,අරමුණ,ඉලක්කය
SY0242,අරමුණ,පරමාර්ථය
SY0243,උපදෙස්,අනුශාසනය
SY0244,උපදෙස්,මගපෙන්වීම
SY0245,ප්‍රවේශය,ක්‍රමවේදය
SY0246,ප්‍රවේශය,ක්‍රමය
SY0247,ක්‍රමවේදය,ක්‍රියාමාර්ගය
SY0248,පර්යේෂකයා,අධ්‍යයනකරුවා
SY0249,පර්යේෂකයා,විද්‍යාඥයා
SY0250,ආකෘතිය,මාදිලිය
SY0251,ආකෘතිය,සැලැස්ම
SY0252,වාර්තාව,ලේඛනය
SY0253,වාර්තාව,විස්තරය
SY0254,ආශ්‍රිතය,සම්බන්ධිතය
SY0255,අවධාරණය,අවධානය
SY0256,සාරාංශය,කෙටි විස්තරය
SY0257,හැඳින්වීම,පුරෝකථනය
SY0258,අදහස,සංකල්පය
SY0259,අදහස,මතය
SY0260,අර්ථදැක්වීම,විවරණය
SY0261,ඉදිරිපත් කිරීම,නිරූපණය
SY0262,ප්‍රකාශනය,නිෂ්පාදනය
SY0263,ප්‍රකාශනය,ප්‍රචාරය
SY0264,සංවාදය,විවාදය
SY0265,අදාලය,සම්බන්ධිතය
SY0266,අවශ්‍යතාවය,අවශ්‍යකම
SY0267,ආරම්භය,පටන්ගැන්ම
SY0268,සංග්‍රහය,එකතුව
SY0269,ඇතුළත් කිරීම,එකතු කිරීම
SY0270,ආශ්‍රය,සම්බන්ධතාවය
SY0271,තර්කය,සාධකය
SY0272,විචාරය,විශ්ලේෂණය
SY0273,විද්‍යාව,විද්‍යාත්මක දැනුම
SY0274,උදාහරණය,මූදර්ශනය
SY0275,විවරණය,විස්තරය
SY0276,අවධානය,යොමු කිරීම
SY0277,අභිප්‍රේරණය,ප්‍රේරණය
SY0278,ආකල්පය,අදහස
SY0279,නියමය,පනත
SY0280,ආධාරය,සහාය
SY0281,උත්සාහය,ව්‍යාපෘතිය
SY0282,ප්‍රතිපත්ති,මාර්ගෝපදේශ
SY0283,අනුමානය,පරිකල්පනය
SY0284,ආකෘතිකරණය,නිර්මාණය
SY0285,පර්යේෂණය,අධ්‍යයනය
SY0286,පර්යේෂණය,විද්‍යාත්මක අධ්‍යයනය
SY0287,පර්යේෂණය,විමර්ශනය
SY0288,අධ්‍යයනය,අධ්‍යාපනය
SY0289,අධ්‍යයනය,පර්යේෂණය
SY0290,ඇගයීම,විශ්ලේෂණය
SY0291,ඇගයීම,විමර්ශනය
SY0292,අගය කිරීම,ඇගයීම
SY0293,නිගමනය,නිෂ්කර්ෂය
SY0294,නිගමනය,අවසාන තීරණය
SY0295,නිර්දේශය,යෝජනාව
SY0296,නිර්දේශය,උපදෙස්
SY0297,සාකච්ඡාව,සංවාදය
SY0298,සාකච්ඡාව,විවාදය
SY0299,විශ්ලේෂණය,විමර්ශනය
SY0300,විශ්ලේෂණය,විචාරය
SY0301,දත්ත,තොරතුරු
SY0302,දත්ත,විස්තර
SY0303,ප්‍රතිඵල,නිමාව
SY0304,ප්‍රතිඵල,අවසාන තත්ත්වය
SY0305,පරිකල්පනය,උපකල්පනය
SY0306,උපකල්පනය,සංකල්පය
SY0307,අරමුණ,ඉලක්කය
SY0308,අරමුණ,පරමාර්ථය
SY0309,උපදෙස්,අනුශාසනය
SY0310,උපදෙස්,මගපෙන්වීම
SY0311,ප්‍රවේශය,ක්‍රමවේදය
SY0312,ප්‍රවේශය,ක්‍රමය
SY0313,ක්‍රමවේදය,ක්‍රියාමාර්ගය
SY0314,පර්යේෂකයා,අධ්‍යයනකරුවා
SY0315,පර්යේෂකයා,විද්‍යාඥයා
SY0316,ආකෘතිය,මාදිලිය
SY0317,ආකෘතිය,සැලැස්ම
SY0318,වාර්තාව,ලේඛනය
SY0319,වාර්තාව,විස්තරය
SY0320,ආශ්‍රිතය,සම්බන්ධිතය
SY0321,අවධාරණය,අවධානය
SY0322,සාරාංශය,කෙටි විස්තරය
SY0323,හැඳින්වීම,පුරෝකථනය
SY0324,අදහස,සංකල්පය
SY0325,අදහස,මතය
SY0326,අර්ථදැක්වීම,විවරණය
SY0327,ඉදිරිපත් කිරීම,නිරූපණය
SY0328,ප්‍රකාශනය,නිෂ්පාදනය
SY0329,ප්‍රකාශනය,ප්‍රචාරය
SY0330,සංවාදය,විවාදය
SY0331,අදාලය,සම්බන්ධිතය
SY0332,අවශ්‍යතාවය,අවශ්‍යකම
SY0333,ආරම්භය,පටන්ගැන්ම
SY0334,සංග්‍රහය,එකතුව
SY0335,ඇතුළත් කිරීම,එකතු කිරීම
SY0336,ආශ්‍රය,සම්බන්ධතාවය
SY0337,තර්කය,සාධකය
SY0338,විචාරය,විශ්ලේෂණය
SY0339,විද්‍යාව,විද්‍යාත්මක දැනුම
SY0340,උදාහරණය,මූදර්ශනය
SY0341,විවරණය,විස්තරය
SY0342,අවධානය,යොමු කිරීම
SY0343,අභිප්‍රේරණය,ප්‍රේරණය
SY0344,ආකල්පය,අදහස
SY0345,නියමය,පනත
SY0346,ආධාරය,සහාය
SY0347,උත්සාහය,ව්‍යාපෘතිය
SY0348,ප්‍රතිපත්ති,මාර්ගෝපදේශ
SY0349,අනුමානය,පරිකල්පනය
SY0350,ආකෘතිකරණය,නිර්මාණය
SY0351,පර්යේෂණය,අධ්‍යයනය
SY0352,පර්යේෂණය,විද්‍යාත්මක අධ්‍යයනය
SY0353,පර්යේෂණය,විමර්ශනය
SY0354,අධ්‍යයනය,අධ්‍යාපනය
SY0355,අධ්‍යයනය,පර්යේෂණය
SY0356,ඇගයීම,විශ්ලේෂණය
SY0357,ඇගයීම,විමර්ශනය
SY0358,අගය කිරීම,ඇගයීම
SY0359,නිගමනය,නිෂ්කර්ෂය
SY0360,නිගමනය,අවසාන තීරණය
SY0361,නිර්දේශය,යෝජනාව
SY0362,නිර්දේශය,උපදෙස්
SY0363,සාකච්ඡාව,සංවාදය
SY0364,සාකච්ඡාව,විවාදය
SY0365,විශ්ලේෂණය,විමර්ශනය
SY0366,විශ්ලේෂණය,විචාරය
SY0367,දත්ත,තොරතුරු
SY0368,දත්ත,විස්තර
SY0369,ප්‍රතිඵල,නිමාව
SY0370,ප්‍රතිඵල,අවසාන තත්ත්වය
SY0371,පරිකල්පනය,උපකල්පනය
SY0372,උපකල්පනය,සංකල්පය
SY0373,අරමුණ,ඉලක්කය
SY0374,අරමුණ,පරමාර්ථය
SY0375,උපදෙස්,අනුශාසනය
SY0376,උපදෙස්,මගපෙන්වීම
SY0377,ප්‍රවේශය,ක්‍රමවේදය
SY0378,ප්‍රවේශය,ක්‍රමය
SY0379,ක්‍රමවේදය,ක්‍රියාමාර්ගය
SY0380,පර්යේෂකයා,අධ්‍යයනකරුවා
SY0381,පර්යේෂකයා,විද්‍යාඥයා
SY0382,ආකෘතිය,මාදිලිය
SY0383,ආකෘතිය,සැලැස්ම
SY0384,වාර්තාව,ලේඛනය
SY0385,වාර්තාව,විස්තරය
SY0386,ආශ්‍රිතය,සම්බන්ධිතය
SY0387,අවධාරණය,අවධානය
SY0388,සාරාංශය,කෙටි විස්තරය
SY0389,හැඳින්වීම,පුරෝකථනය
SY0390,අදහස,සංකල්පය
SY0391,අදහස,මතය
SY0392,අර්ථදැක්වීම,විවරණය
SY0393,ඉදිරිපත් කිරීම,නිරූපණය
SY0394,ප්‍රකාශනය,නිෂ්පාදනය
SY0395,ප්‍රකාශනය,ප්‍රචාරය
SY0396,සංවාදය,විවාදය
SY0397,අදාලය,සම්බන්ධිතය
SY0398,අවශ්‍යතාවය,අවශ්‍යකම
SY0399,ආරම්භය,පටන්ගැන්ම
SY0400,සංග්‍රහය,එකතුව
SY0401,ඇතුළත් කිරීම,එකතු කිරීම
SY0402,ආශ්‍රය,සම්බන්ධතාවය
SY0403,තර්කය,සාධකය
SY0404,විචාරය,විශ්ලේෂණය
SY0405,විද්‍යාව,විද්‍යාත්මක දැනුම
SY0406,උදාහරණය,මූදර්ශනය
SY0407,විවරණය,විස්තරය
SY0408,අවධානය,යොමු කිරීම
SY0409,අභිප්‍රේරණය,ප්‍රේරණය
SY0410,ආකල්පය,අදහස
SY0411,නියමය,පනත
SY0412,ආධාරය,සහාය
SY0413,උත්සාහය,ව්‍යාපෘතිය
SY0414,ප්‍රතිපත්ති,මාර්ගෝපදේශ
SY0415,අනුමානය,පරිකල්පනය
SY0416,ආකෘතිකරණය,නිර්මාණය
SY0417,පර්යේෂණය,අධ්‍යයනය
SY0418,පර්යේෂණය,විද්‍යාත්මක අධ්‍යයනය
SY0419,පර්යේෂණය,විමර්ශනය
SY0420,අධ්‍යයනය,අධ්‍යාපනය
SY0421,අධ්‍යයනය,පර්යේෂණය
SY0422,ඇගයීම,විශ්ලේෂණය
SY0423,ඇගයීම,විමර්ශනය
SY0424,අගය කිරීම,ඇගයීම
SY0425,නිගමනය,නිෂ්කර්ෂය
SY0426,නිගමනය,අවසාන තීරණය
SY0427,නිර්දේශය,යෝජනාව
SY0428,නිර්දේශය,උපදෙස්
SY0429,සාකච්ඡාව,සංවාදය
SY0430,සාකච්ඡාව,විවාදය
SY0431,විශ්ලේෂණය,විමර්ශනය
SY0432,විශ්ලේෂණය,විචාරය
SY0433,දත්ත,තොරතුරු
SY0434,දත්ත,විස්තර
SY0435,ප්‍රතිඵල,නිමාව
SY0436,ප්‍රතිඵල,අවසාන තත්ත්වය
SY0437,පරිකල්පනය,උපකල්පනය
SY0438,උපකල්පනය,සංකල්පය
SY0439,අරමුණ,ඉලක්කය
SY0440,අරමුණ,පරමාර්ථය
SY0441,උපදෙස්,අනුශාසනය
SY0442,උපදෙස්,මගපෙන්වීම
SY0443,ප්‍රවේශය,ක්‍රමවේදය
SY0444,ප්‍රවේශය,ක්‍රමය
SY0445,ක්‍රමවේදය,ක්‍රියාමාර්ගය
SY0446,පර්යේෂකයා,අධ්‍යයනකරුවා
SY0447,පර්යේෂකයා,විද්‍යාඥයා
SY0448,ආකෘතිය,මාදිලිය
SY0449,ආකෘතිය,සැලැස්ම
SY0450,වාර්තාව,ලේඛනය
SY0451,වාර්තාව,විස්තරය
SY0452,ආශ්‍රිතය,සම්බන්ධිතය
SY0453,අවධාරණය,අවධානය
SY0454,සාරාංශය,කෙටි විස්තරය
SY0455,හැඳින්වීම,පුරෝකථනය
SY0456,අදහස,සංකල්පය
SY0457,අදහස,මතය
SY0458,අර්ථදැක්වීම,විවරණය
SY0459,ඉදිරිපත් කිරීම,නිරූපණය
SY0460,ප්‍රකාශනය,නිෂ්පාදනය
SY0461,ප්‍රකාශනය,ප්‍රචාරය
SY0462,සංවාදය,විවාදය
SY0463,අදාලය,සම්බන්ධිතය
SY0464,අවශ්‍යතාවය,අවශ්‍යකම
SY0465,ආරම්භය,පටන්ගැන්ම
SY0466,සංග්‍රහය,එකතුව
SY0467,ඇතුළත් කිරීම,එකතු කිරීම
SY0468,ආශ්‍රය,සම්බන්ධතාවය
SY0469,තර්කය,සාධකය
SY0470,විචාරය,විශ්ලේෂණය
SY0471,විද්‍යාව,විද්‍යාත්මක දැනුම
SY0472,උදාහරණය,මූදර්ශනය
SY0473,විවරණය,විස්තරය
SY0474,අවධානය,යොමු කිරීම
SY0475,අභිප්‍රේරණය,ප්‍රේරණය
SY0476,ආකල්පය,අදහස
SY0477,නියමය,පනත
SY0478,ආධාරය,සහාය
SY0479,උත්සාහය,ව්‍යාපෘතිය
SY0480,ප්‍රතිපත්ති,මාර්ගෝපදේශ
SY0481,අනුමානය,පරිකල්පනය
SY0482,ආකෘතිකරණය,නිර්මාණය
SY0483,පර්යේෂණය,අධ්‍යයනය
SY0484,පර්යේෂණය,විද්‍යාත්මක අධ්‍යයනය
SY0485,පර්යේෂණය,විමර්ශනය
SY0486,අධ්‍යයනය,අධ්‍යාපනය
SY0487,අධ්‍යයනය,පර්යේෂණය
SY0488,ඇගයීම,විශ්ලේෂණය
SY0489,ඇගයීම,විමර්ශනය
SY0490,අගය කිරීම,ඇගයීම
SY0491,නිගමනය,නිෂ්කර්ෂය
SY0492,නිගමනය,අවසාන තීරණය
SY0493,නිර්දේශය,යෝජනාව
SY0494,නිර්දේශය,උපදෙස්
SY0495,සාකච්ඡාව,සංවාදය
SY0496,සාකච්ඡාව,විවාදය
SY0497,විශ්ලේෂණය,විමර්ශනය
SY0498,විශ්ලේෂණය,විචාරය
SY0499,දත්ත,තොරතුරු
SY0500,දත්ත,විස්තර
SY0501,ප්‍රතිඵල,නිමාව
SY0502,ප්‍රතිඵල,අවසාන තත්ත්වය
SY0503,පරිකල්පනය,උපකල්පනය
SY0504,උපකල්පනය,සංකල්පය
SY0505,අරමුණ,ඉලක්කය
SY0506,අරමුණ,පරමාර්ථය
SY0507,උපදෙස්,අනුශාසනය
SY0508,උපදෙස්,මගපෙන්වීම
SY0509,ප්‍රවේශය,ක්‍රමවේදය
SY0510,ප්‍රවේශය,ක්‍රමය
SY0511,ක්‍රමවේදය,ක්‍රියාමාර්ගය
SY0512,පර්යේෂකයා,අධ්‍යයනකරුවා
SY0513,පර්යේෂකයා,විද්‍යාඥයා
SY0514,ආකෘතිය,මාදිලිය
SY0515,ආකෘතිය,සැලැස්ම
SY0516,වාර්තාව,ලේඛනය
SY0517,වාර්තාව,විස්තරය
SY0518,ආශ්‍රිතය,සම්බන්ධිතය
SY0519,අවධාරණය,අවධානය
SY0520,සාරාංශය,කෙටි විස්තරය
SY0521,හැඳින්වීම,පුරෝකථනය
SY0522,අදහස,සංකල්පය
SY0523,අදහස,මතය
SY0524,අර්ථදැක්වීම,විවරණය
SY0525,ඉදිරිපත් කිරීම,නිරූපණය
SY0526,ප්‍රකාශනය,නිෂ්පාදනය
SY0527,ප්‍රකාශනය,ප්‍රචාරය
SY0528,සංවාදය,විවාදය
SY0529,අදාලය,සම්බන්ධිතය
SY0530,අවශ්‍යතාවය,අවශ්‍යකම
SY0531,ආරම්භය,පටන්ගැන්ම
SY0532,සංග්‍රහය,එකතුව
SY0533,ඇතුළත් කිරීම,එකතු කිරීම
SY0534,ආශ්‍රය,සම්බන්ධතාවය
SY0535,තර්කය,සාධකය
SY0536,විචාරය,විශ්ලේෂණය
SY0537,විද්‍යාව,විද්‍යාත්මක දැනුම
SY0538,උදාහරණය,මූදර්ශනය
SY0539,විවරණය,විස්තරය
SY0540,අවධානය,යොමු කිරීම
SY0541,අභිප්‍රේරණය,ප්‍රේරණය
SY0542,ආකල්පය,අදහස
SY0543,නියමය,පනත
SY0544,ආධාරය,සහාය
SY0545,උත්සාහය,ව්‍යාපෘතිය
SY0546,ප්‍රතිපත්ති,මාර්ගෝපදේශ
SY0547,අනුමානය,පරිකල්පනය
SY0548,ආකෘතිකරණය,නිර්මාණය
SY0549,පර්යේෂණය,අධ්‍යයනය
SY0550,පර්යේෂණය,විද්‍යාත්මක අධ්‍යයනය
SY0551,පර්යේෂණය,විමර්ශනය
SY0552,අධ්‍යයනය,අධ්‍යාපනය
SY0553,අධ්‍යයනය,පර්යේෂණය
SY0554,ඇගයීම,විශ්ලේෂණය
SY0555,ඇගයීම,විමර්ශනය
SY0556,අගය කිරීම,ඇගයීම
SY0557,නිගමනය,නිෂ්කර්ෂය
SY0558,නිගමනය,අවසාන තීරණය
SY0559,නිර්දේශය,යෝජනාව
SY0560,නිර්දේශය,උපදෙස්
SY0561,සාකච්ඡාව,සංවාදය
SY0562,සාකච්ඡාව,විවාදය
SY0563,විශ්ලේෂණය,විමර්ශනය
SY0564,විශ්ලේෂණය,විචාරය
SY0565,දත්ත,තොරතුරු
SY0566,දත්ත,විස්තර
SY0567,ප්‍රතිඵල,නිමාව
SY0568,ප්‍රතිඵල,අවසාන තත්ත්වය
SY0569,පරිකල්පනය,උපකල්පනය
SY0570,උපකල්පනය,සංකල්පය
SY0571,අරමුණ,ඉලක්කය
SY0572,අරමුණ,පරමාර්ථය
SY0573,උපදෙස්,අනුශාසනය
SY0574,උපදෙස්,මගපෙන්වීම
SY0575,ප්‍රවේශය,ක්‍රමවේදය
SY0576,ප්‍රවේශය,ක්‍රමය
SY0577,ක්‍රමවේදය,ක්‍රියාමාර්ගය
SY0578,පර්යේෂකයා,අධ්‍යයනකරුවා
SY0579,පර්යේෂකයා,විද්‍යාඥයා
SY0580,ආකෘතිය,මාදිලිය
SY0581,ආකෘතිය,සැලැස්ම
SY0582,වාර්තාව,ලේඛනය
SY0583,වාර්තාව,විස්තරය
SY0584,ආශ්‍රිතය,සම්බන්ධිතය
SY0585,අවධාරණය,අවධානය
SY0586,සාරාංශය,කෙටි විස්තරය
SY0587,හැඳින්වීම,පුරෝකථනය
SY0588,අදහස,සංකල්පය
SY0589,අදහස,මතය
SY0590,අර්ථදැක්වීම,විවරණය
SY0591,ඉදිරිපත් කිරීම,නිරූපණය
SY0592,ප්‍රකාශනය,නිෂ්පාදනය
SY0593,ප්‍රකාශනය,ප්‍රචාරය
SY0594,සංවාදය,විවාදය
SY0595,අදාලය,සම්බන්ධිතය
SY0596,අවශ්‍යතාවය,අවශ්‍යකම
SY0597,ආරම්භය,පටන්ගැන්ම
SY0598,සංග්‍රහය,එකතුව
SY0599,ඇතුළත් කිරීම,එකතු කිරීම
SY0600,ආශ්‍රය,සම්බන්ධතාවය
SY0601,තර්කය,සාධකය
